%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1452441711408948031,0.0,0.0,0.0,0.0,0.0,0.0
1452441711408969028,0.0,0.0,0.0,0.0,0.0,0.0
1452441711414288184,0.0,0.0,0.0,0.0,0.0,0.0
1452441711417079220,0.0,0.0,0.0,0.0,0.0,0.0
1452441711422656458,0.0,0.0,0.0,0.0,0.0,0.0
1452441711426351305,0.0,0.0,0.0,0.0,0.0,0.0
1452441711429377284,0.0,0.0,0.0,0.0,0.0,0.0
1452441711429393159,0.0,0.0,0.0,0.0,0.0,0.0
1452441711431320182,0.0,0.0,0.0,0.0,0.0,0.0
1452441711435322748,0.0,0.0,0.0,0.0,0.0,0.0
1452441711437837251,0.0,0.0,0.0,0.0,0.0,0.0
1452441711441113217,0.0,0.0,0.0,0.0,0.0,0.0
1452441711444543016,0.0,0.0,0.0,0.0,0.0,0.0
1452441711449370712,0.0,0.0,0.0,0.0,0.0,0.0
1452441711451474862,0.0,0.0,0.0,0.0,0.0,0.0
1452441711454572938,0.0,0.0,0.0,0.0,0.0,0.0
1452441711457881541,0.0,0.0,0.0,0.0,0.0,0.0
1452441711461449142,0.0,0.0,0.0,0.0,0.0,0.0
1452441711464428189,0.0,0.0,0.0,0.0,0.0,0.0
1452441711467953718,0.0,0.0,0.0,0.0,0.0,0.0
1452441711471152398,0.0,0.0,0.0,0.0,0.0,0.0
1452441711474398234,0.0,0.0,0.0,0.0,0.0,0.0
1452441711477884601,0.0,0.0,0.0,0.0,0.0,0.0
1452441711481180505,0.0,0.0,0.0,0.0,0.0,0.0
1452441711484407023,0.0,0.0,0.0,0.0,0.0,0.0
1452441711487729810,0.0,0.0,0.0,0.0,0.0,0.0
1452441711491102123,0.0,0.0,0.0,0.0,0.0,0.0
1452441711494557604,0.0,0.0,0.0,0.0,0.0,0.0
1452441711497729412,0.0,0.0,0.0,0.0,0.0,0.0
1452441711501203385,0.0,0.0,0.0,0.0,0.0,0.0
1452441711504539305,0.0,0.0,0.0,0.0,0.0,0.0
1452441711507765505,0.0,0.0,0.0,0.0,0.0,0.0
1452441711511021372,0.0,0.0,0.0,0.0,0.0,0.0
1452441711514498617,0.0,0.0,0.0,0.0,0.0,0.0
1452441711517868429,0.0,0.0,0.0,0.0,0.0,0.0
1452441711521279853,0.0,0.0,0.0,0.0,0.0,0.0
1452441711527808054,0.0,0.0,0.0,0.0,0.0,0.0
1452441711527822333,0.0,0.0,0.0,0.0,0.0,0.0
1452441711531335376,0.0,0.0,0.0,0.0,0.0,0.0
1452441711534642965,0.0,0.0,0.0,0.0,0.0,0.0
1452441711538119671,0.0,0.0,0.0,0.0,0.0,0.0
1452441711541307419,0.0,0.0,0.0,0.0,0.0,0.0
1452441711544893074,0.0,0.0,0.0,0.0,0.0,0.0
1452441711547883951,0.0,0.0,0.0,0.0,0.0,0.0
1452441711551292093,0.0,0.0,0.0,0.0,0.0,0.0
1452441711554512805,0.0,0.0,0.0,0.0,0.0,0.0
1452441711557786170,0.0,0.0,0.0,0.0,0.0,0.0
1452441711561201428,0.0,0.0,0.0,0.0,0.0,0.0
1452441711564659312,0.0,0.0,0.0,0.0,0.0,0.0
1452441711568061158,0.0,0.0,0.0,0.0,0.0,0.0
1452441711571486482,0.0,0.0,0.0,0.0,0.0,0.0
1452441711574644770,0.0,0.0,0.0,0.0,0.0,0.0
1452441711578022554,0.0,0.0,0.0,0.0,0.0,0.0
1452441711581260750,0.0,0.0,0.0,0.0,0.0,0.0
1452441711584408540,0.0,0.0,0.0,0.0,0.0,0.0
1452441711587758854,0.0,0.0,0.0,0.0,0.0,0.0
1452441711591092172,0.0,0.0,0.0,0.0,0.0,0.0
1452441711594383623,0.0,0.0,0.0,0.0,0.0,0.0
1452441711597833912,0.0,0.0,0.0,0.0,0.0,0.0
1452441711601192289,0.0,0.0,0.0,0.0,0.0,0.0
1452441711604602668,0.0,0.0,0.0,0.0,0.0,0.0
1452441711608085742,0.0,0.0,0.0,0.0,0.0,0.0
1452441711611527301,0.0,0.0,0.0,0.0,0.0,0.0
1452441711614570965,0.0,0.0,0.0,0.0,0.0,0.0
1452441711617970020,0.0,0.0,0.0,0.0,0.0,0.0
1452441711621603086,0.0,0.0,0.0,0.0,0.0,0.0
1452441711624827877,0.0,0.0,0.0,0.0,0.0,0.0
1452441711628228910,0.0,0.0,0.0,0.0,0.0,0.0
1452441711631212873,0.0,0.0,0.0,0.0,0.0,0.0
1452441711634671338,0.0,0.0,0.0,0.0,0.0,0.0
1452441711637910907,0.0,0.0,0.0,0.0,0.0,0.0
1452441711641305292,0.0,0.0,0.0,0.0,0.0,0.0
1452441711644815979,0.0,0.0,0.0,0.0,0.0,0.0
1452441711648088918,0.0,0.0,0.0,0.0,0.0,0.0
1452441711651348415,0.0,0.0,0.0,0.0,0.0,0.0
1452441711654685104,0.0,0.0,0.0,0.0,0.0,0.0
1452441711657795561,0.0,0.0,0.0,0.0,0.0,0.0
1452441711662082676,0.0,0.0,0.0,0.0,0.0,0.0
1452441711664743432,0.0,0.0,0.0,0.0,0.0,0.0
1452441711667996969,0.0,0.0,0.0,0.0,0.0,0.0
1452441711671381448,0.0,0.0,0.0,0.0,0.0,0.0
1452441711674510087,0.0,0.0,0.0,0.0,0.0,0.0
1452441711677854856,0.0,0.0,0.0,0.0,0.0,0.0
1452441711681134505,0.0,0.0,0.0,0.0,0.0,0.0
1452441711684629170,0.0,0.0,0.0,0.0,0.0,0.0
1452441711687867775,0.0,0.0,0.0,0.0,0.0,0.0
1452441711692041399,0.0,0.0,0.0,0.0,0.0,0.0
1452441711695336652,0.0,0.0,0.0,0.0,0.0,0.0
1452441711697980856,0.0,0.0,0.0,0.0,0.0,0.0
1452441711701220949,0.0,0.0,0.0,0.0,0.0,0.0
1452441711704598751,0.0,0.0,0.0,0.0,0.0,0.0
1452441711707982409,0.0,0.0,0.0,0.0,0.0,0.0
1452441711711615347,0.0,0.0,0.0,0.0,0.0,0.0
1452441711714972751,0.0,0.0,0.0,0.0,0.0,0.0
1452441711717993903,0.0,0.0,0.0,0.0,0.0,0.0
1452441711721236344,0.0,0.0,0.0,0.0,0.0,0.0
1452441711724656866,0.0,0.0,0.0,0.0,0.0,0.0
1452441711728199678,0.0,0.0,0.0,0.0,0.0,0.0
1452441711731401279,0.0,0.0,0.0,0.0,0.0,0.0
1452441711734743268,0.0,0.0,0.0,0.0,0.0,0.0
1452441711738018449,0.0,0.0,0.0,0.0,0.0,0.0
1452441711741337284,0.0,0.0,0.0,0.0,0.0,0.0
1452441711744497057,0.0,0.0,0.0,0.0,0.0,0.0
1452441711748106169,0.0,0.0,0.0,0.0,0.0,0.0
1452441711751313414,0.0,0.0,0.0,0.0,0.0,0.0
1452441711754787618,0.0,0.0,0.0,0.0,0.0,0.0
1452441711757751492,0.0,0.0,0.0,0.0,0.0,0.0
1452441711761705450,0.0,0.0,0.0,0.0,0.0,0.0
1452441711764569006,0.0,0.0,0.0,0.0,0.0,0.0
1452441711767904638,0.0,0.0,0.0,0.0,0.0,0.0
1452441711771297253,0.0,0.0,0.0,0.0,0.0,0.0
1452441711774432377,0.0,0.0,0.0,0.0,0.0,0.0
1452441711778089073,0.0,0.0,0.0,0.0,0.0,0.0
1452441711781379605,0.0,0.0,0.0,0.0,0.0,0.0
1452441711785002886,0.0,0.0,0.0,0.0,0.0,0.0
1452441711787904630,0.0,0.0,0.0,0.0,0.0,0.0
